group,fips_code,clinton_votes,sanders_votes,clinton_margin,clinton_percent
Hawaii,15001,1639,5605,-3966,-0.5474875759249034
Hawaii,15003,6686,11458,-4772,-0.2630070546737213
Hawaii,15007,607,2049,-1442,-0.5429216867469879
Hawaii,15009,1195,4419,-3224,-0.5742785892411828
Idaho,16001,1663,7336,-5673,-0.6304033781531281
Idaho,16003,19,48,-29,-0.43283582089552236
Idaho,16005,301,1197,-896,-0.5981308411214953
Idaho,16007,12,25,-13,-0.35135135135135137
Idaho,16009,20,49,-29,-0.42028985507246375
Idaho,16011,55,181,-126,-0.5338983050847458
Idaho,16013,249,539,-290,-0.3680203045685279
Idaho,16015,36,76,-40,-0.35714285714285715
Idaho,16017,185,716,-531,-0.5893451720310766
Idaho,16019,217,822,-605,-0.5822906641000962
Idaho,16021,27,158,-131,-0.7081081081081081
Idaho,16023,5,20,-15,-0.6
Idaho,16025,7,11,-4,-0.2222222222222222
Idaho,16027,278,1312,-1034,-0.650314465408805
Idaho,16029,3,7,-4,-0.4
Idaho,16031,36,57,-21,-0.22580645161290322
Idaho,16033,0,4,-4,-1.0
Idaho,16035,38,53,-15,-0.16483516483516483
Idaho,16037,12,31,-19,-0.4418604651162791
Idaho,16039,77,156,-79,-0.33905579399141633
Idaho,16041,25,36,-11,-0.18032786885245902
Idaho,16043,5,24,-19,-0.6551724137931034
Idaho,16045,50,131,-81,-0.44751381215469616
Idaho,16047,28,49,-21,-0.2727272727272727
Idaho,16049,48,90,-42,-0.30434782608695654
Idaho,16051,24,101,-77,-0.616
Idaho,16053,32,107,-75,-0.539568345323741
Idaho,16055,493,1561,-1068,-0.5199610516066212
Idaho,16057,310,1612,-1302,-0.6774193548387096
Idaho,16059,17,71,-54,-0.6136363636363636
Idaho,16061,20,19,1,0.02564102564102564
Idaho,16063,15,22,-7,-0.1891891891891892
Idaho,16065,47,216,-169,-0.6425855513307985
Idaho,16067,26,51,-25,-0.3246753246753247
Idaho,16069,155,383,-228,-0.42379182156133827
Idaho,16071,5,6,-1,-0.09090909090909091
Idaho,16073,22,40,-18,-0.2903225806451613
Idaho,16075,46,91,-45,-0.3284671532846715
Idaho,16077,19,45,-26,-0.40625
Idaho,16079,45,85,-40,-0.3076923076923077
Idaho,16081,84,311,-227,-0.5746835443037974
Idaho,16083,201,522,-321,-0.44398340248962653
Idaho,16085,73,198,-125,-0.4612546125461255
Idaho,16087,35,71,-36,-0.33962264150943394
Illinois,17001,1731,1609,122,0.03652694610778443
Illinois,17003,770,434,336,0.27906976744186046
Illinois,17005,718,858,-140,-0.08883248730964467
Illinois,17007,1957,2773,-816,-0.17251585623678647
